order_id,distance_km,prep_time_min,estimated_travel_time_min,hour_of_day,day_of_week,is_raining,courier_experience,actual_delivery_time_min,promised_eta_min,is_late
77,3.88,13,10.3,2,1,1,1,39.3,23.3,1
78,8.11,18,14.0,22,6,0,1,37.8,32.0,0
79,6.91,24,15.0,9,5,0,0,47.7,39.0,0
80,9.51,15,23.0,20,0,1,2,50.7,43.0,0
81,8.14,17,18.9,20,6,0,1,44.2,40.9,0
82,5.17,19,12.3,20,5,0,1,46.0,36.3,0
83,9.86,32,15.1,15,4,0,1,55.1,47.1,0
84,2.42,32,5.3,3,1,0,2,41.3,37.3,0
85,0.76,13,1.2,13,3,0,0,28.0,19.2,0
86,1.54,12,3.4,19,1,1,1,37.3,20.4,1
87,8.81,17,25.1,18,4,0,1,49.3,47.1,0
88,5.81,11,16.5,8,0,0,0,30.8,27.5,0
89,2.35,22,4.9,23,5,1,2,38.6,26.9,1
90,6.26,21,9.6,3,4,0,1,40.6,30.6,0
91,2.25,18,4.0,1,6,1,1,42.2,22.0,1
92,8.51,18,14.5,16,2,0,0,37.4,32.5,0
93,5.63,30,11.4,3,1,1,1,55.7,41.4,1
94,4.88,9,10.9,18,1,0,1,26.5,24.9,0
95,3.97,27,6.9,22,5,1,1,46.5,33.9,1
96,7.75,22,14.0,5,5,1,1,46.7,36.0,1
97,4.66,28,12.9,16,5,0,1,51.6,40.9,1
98,1.51,22,2.8,4,6,0,1,28.4,24.8,0
99,1.86,28,3.3,8,0,0,2,30.6,31.3,0
100,11.56,23,24.1,2,3,1,1,58.1,47.1,1
101,10.95,26,23.3,18,6,0,1,66.3,54.3,1
102,8.55,17,13.7,17,5,0,2,31.2,30.7,0
103,3.56,31,7.4,6,0,0,2,36.9,38.4,0
104,11.65,13,25.9,12,0,0,1,47.8,43.9,0
105,9.46,26,15.1,8,3,0,1,46.1,41.1,0
106,8.74,14,12.6,18,4,0,0,47.3,31.6,1
107,5.67,28,13.7,22,5,1,1,61.3,41.7,1
108,3.63,30,7.5,8,3,0,1,46.9,37.5,0
109,1.61,10,4.6,18,5,0,2,22.8,19.6,0
110,10.88,23,20.9,10,5,0,1,49.7,43.9,0
111,5.74,20,12.8,2,4,0,1,38.8,32.8,0
112,2.83,16,4.4,0,0,0,1,25.8,20.4,0
113,4.02,13,6.0,8,1,1,0,34.7,19.0,1
114,7.16,23,18.3,13,6,0,2,47.9,46.3,0
115,2.53,29,3.9,3,6,0,1,39.2,32.9,0
116,10.35,15,24.3,16,6,0,2,42.7,39.3,0
117,9.22,15,20.1,10,1,0,0,43.7,35.1,0
118,8.77,30,13.3,22,2,0,2,52.4,43.3,0
119,5.47,27,11.4,1,5,0,1,43.5,38.4,0
120,7.71,26,21.7,22,0,0,1,55.3,47.7,0
121,7.22,22,19.6,11,2,0,0,57.1,46.6,1
122,7.97,8,17.0,6,2,1,2,31.1,25.0,0
123,1.47,9,2.2,10,6,1,1,21.5,11.2,1
124,5.28,6,13.9,13,5,0,0,40.6,24.9,1
125,0.98,14,2.3,6,2,1,1,26.3,16.3,0
126,6.18,6,9.0,14,0,0,1,10.4,15.0,0
127,4.29,19,8.7,4,6,0,1,27.8,27.7,0
128,2.16,5,3.3,5,3,0,1,11.2,8.3,0
129,1.69,34,3.5,23,2,0,2,41.7,37.5,0
130,7.26,19,13.7,4,0,0,0,38.9,32.7,0
131,2.46,5,3.6,16,4,1,1,18.0,8.6,0
132,11.14,10,16.3,4,5,0,1,26.3,26.3,0
133,7.18,10,17.6,12,5,0,0,42.8,32.6,1
134,4.49,25,7.7,13,0,0,1,40.9,37.7,0
135,7.3,28,14.6,16,5,1,0,59.3,42.6,1
136,0.76,19,1.9,23,4,1,0,32.6,20.9,1
137,11.52,26,32.1,4,1,0,0,61.1,58.1,0
138,6.05,7,11.5,4,2,0,2,24.4,18.5,0
139,9.5,14,24.8,2,2,1,0,59.6,38.8,1
140,1.45,5,2.1,20,6,0,1,24.8,12.1,1
141,6.1,17,13.9,19,5,0,2,35.2,35.9,0
142,6.14,6,12.2,0,1,0,0,30.2,18.2,1
143,11.29,28,18.7,11,2,1,2,65.7,51.7,1
144,7.07,21,13.4,17,3,0,1,43.0,34.4,0
145,5.95,27,12.3,3,2,0,0,42.9,39.3,0
146,3.57,22,6.3,10,4,0,1,35.4,28.3,0
147,4.31,6,10.3,15,5,0,0,31.9,16.3,1
148,6.49,15,12.4,0,5,1,1,41.3,27.4,1
149,5.55,5,8.1,21,0,0,0,27.8,18.1,0
150,0.75,7,1.2,22,5,1,1,14.8,8.2,0
151,10.0,33,21.4,0,3,0,1,55.6,54.4,0
152,10.81,33,16.1,1,2,0,1,54.0,49.1,0
153,2.11,8,3.2,0,0,0,0,19.7,11.2,0
154,6.87,17,15.4,7,0,0,1,39.4,32.4,0
155,1.75,13,2.6,11,2,0,1,24.6,20.6,0
156,8.23,17,15.8,0,5,1,2,37.9,32.8,0
157,3.73,23,5.5,13,6,0,2,30.6,33.5,0
158,8.08,16,14.9,23,5,0,1,36.2,30.9,0
159,8.86,29,23.1,19,6,0,1,65.1,57.1,0
160,9.34,6,23.4,15,4,0,1,31.6,29.4,0
161,1.74,22,3.3,15,1,1,2,30.4,25.3,0
162,11.03,26,30.8,3,2,0,0,64.6,56.8,0
163,3.15,21,5.1,1,0,0,1,31.5,26.1,0
164,0.93,24,2.0,16,6,0,1,26.3,26.0,0
165,6.88,23,19.1,8,3,1,1,46.5,42.1,0
166,4.77,9,8.3,23,6,0,0,28.5,17.3,1
167,10.04,28,17.9,16,2,0,1,48.7,45.9,0
168,9.79,13,24.8,12,2,0,2,43.5,42.8,0
169,4.15,10,10.0,12,5,1,1,37.0,25.0,1
170,11.46,21,18.8,6,4,0,1,42.4,39.8,0
171,3.85,24,9.6,20,2,0,1,51.5,38.6,1
172,6.42,16,18.2,13,4,1,1,53.2,39.2,1
173,3.44,6,4.9,7,5,0,0,24.1,10.9,1
174,11.26,34,24.9,14,1,0,1,59.2,58.9,0
175,2.39,29,3.6,18,1,1,2,47.7,37.6,1
176,1.02,19,2.1,11,2,0,2,31.9,26.1,0
177,5.5,15,8.0,7,4,0,1,25.1,23.0,0
178,11.91,31,23.8,21,5,0,2,62.1,59.8,0
179,10.75,15,17.6,1,4,0,1,39.0,32.6,0
180,9.11,11,13.2,13,4,0,2,27.8,29.2,0
181,10.74,12,23.9,16,5,1,2,45.2,35.9,0
182,10.77,21,29.9,16,6,0,0,57.6,50.9,0
183,6.47,27,12.8,15,2,0,1,43.3,39.8,0
184,4.13,14,6.7,16,6,0,1,23.7,20.7,0
185,9.38,10,17.1,17,4,0,0,37.8,27.1,1
186,8.11,33,12.6,10,2,0,1,50.7,45.6,0
187,4.8,7,10.8,16,2,0,1,20.7,17.8,0
188,1.59,21,4.3,8,4,0,1,28.6,25.3,0
189,9.09,10,21.3,9,2,0,1,36.3,31.3,0
190,3.52,24,8.2,16,6,1,0,45.2,32.2,1
191,11.27,16,24.1,20,0,1,0,61.5,45.1,1
192,3.27,7,7.1,3,6,0,1,13.4,14.1,0
193,1.91,10,4.4,8,3,0,2,22.2,14.4,0
194,10.06,19,25.6,13,3,0,1,55.0,49.6,0
195,2.26,9,4.2,9,3,0,0,22.6,13.2,0
196,2.56,22,4.3,9,2,1,1,36.8,26.3,1
197,7.39,29,11.1,1,2,0,1,44.2,40.1,0
198,10.56,13,23.6,9,6,0,2,43.2,36.6,0
199,2.76,33,4.7,21,4,0,0,54.6,42.7,1
200,4.07,27,7.6,20,6,0,0,54.7,39.6,1
201,9.44,7,14.3,19,0,0,0,38.1,26.3,1
202,11.68,18,19.7,4,6,0,1,40.1,37.7,0
203,6.26,21,15.1,0,5,0,0,44.3,36.1,0
204,2.15,21,4.9,8,4,0,1,30.7,25.9,0
205,0.66,18,1.2,6,5,0,2,26.6,19.2,0
206,3.14,15,5.1,14,3,0,1,26.2,20.1,0
207,2.02,22,5.4,16,4,1,1,42.5,27.4,1
208,8.29,25,14.4,7,5,1,1,51.4,39.4,1
209,1.9,30,4.6,5,2,0,2,36.2,34.6,0
210,6.32,8,9.3,22,3,0,1,21.4,17.3,0
211,8.48,9,12.3,2,0,1,1,36.9,21.3,1
212,7.18,20,11.0,12,2,0,0,48.0,36.0,1
213,2.8,17,4.3,14,1,0,2,19.8,21.3,0
214,9.75,31,14.2,9,3,0,0,60.4,45.2,1
215,8.73,22,19.4,8,3,0,1,49.3,41.4,0
216,9.0,12,16.9,15,4,0,0,43.2,28.9,1
217,2.01,30,5.1,12,1,1,2,51.8,40.1,1
218,1.92,31,3.8,13,2,0,1,41.9,39.8,0
219,11.17,6,28.9,5,2,1,0,45.4,34.9,1
220,5.07,31,8.6,5,0,0,0,52.3,39.6,1
221,3.96,15,10.5,14,3,0,1,28.4,25.5,0
222,6.12,11,9.4,6,5,0,1,21.8,20.4,0
223,8.12,8,12.5,4,3,0,2,25.4,20.5,0
224,11.49,7,16.7,22,3,1,1,30.2,23.7,0
225,3.79,6,10.5,6,6,1,2,22.9,16.5,0
226,11.14,27,17.5,11,0,0,0,59.6,49.5,1
227,0.79,32,1.7,11,3,1,2,45.0,38.7,0
228,6.88,33,16.4,8,3,0,1,53.5,49.4,0
229,7.79,20,12.7,13,6,1,1,54.6,37.7,1
230,1.72,12,4.4,22,2,0,1,18.7,16.4,0
231,2.11,31,3.2,14,1,0,1,39.0,34.2,0
232,5.32,32,8.1,14,3,0,1,44.7,40.1,0
233,11.61,17,21.3,11,5,0,2,49.4,43.3,0
234,7.35,11,14.8,16,3,0,1,31.5,25.8,0
235,11.23,30,17.0,0,2,0,0,62.0,47.0,1
236,9.75,15,16.3,6,6,0,0,38.2,31.3,0
237,5.87,21,16.2,0,4,0,2,36.6,37.2,0
238,9.52,31,19.3,4,2,0,1,53.5,50.3,0
239,0.71,9,1.4,3,1,0,1,17.3,10.4,0
240,1.76,14,2.7,10,0,0,0,22.8,16.7,0
241,10.04,11,15.2,22,5,0,2,32.5,26.2,0
242,9.66,27,17.9,9,4,0,1,52.1,44.9,0
243,3.18,8,8.2,18,0,1,2,34.8,21.2,1
244,6.6,9,11.7,18,2,1,2,33.0,25.7,0
245,7.47,14,14.6,11,1,1,1,42.1,33.6,0
246,10.48,16,21.0,5,5,1,1,43.2,37.0,0
247,7.44,27,10.7,7,6,0,1,42.3,37.7,0
248,5.24,33,7.5,14,5,0,0,54.2,40.5,1
249,4.8,22,9.7,0,1,1,2,43.8,31.7,1
250,5.4,11,8.0,10,3,0,1,22.7,19.0,0
251,8.0,24,18.4,11,6,0,2,52.6,47.4,0
252,10.48,26,25.1,17,5,0,1,68.1,51.1,1
253,5.72,7,9.9,20,3,0,0,28.7,21.9,0
254,3.35,32,6.4,22,6,0,1,47.3,38.4,0
255,3.22,20,5.3,16,0,0,0,26.9,25.3,0
256,9.08,28,23.4,4,6,0,1,53.3,51.4,0
257,9.89,6,19.1,12,6,1,0,57.8,30.1,1
258,1.71,33,2.9,20,4,1,2,50.2,40.9,0
259,1.27,34,2.4,5,6,0,1,39.3,36.4,0
260,7.34,33,16.3,19,6,1,1,65.0,54.3,1
261,2.18,20,4.2,0,4,0,1,28.7,24.2,0
262,9.98,8,18.0,16,1,0,1,33.3,26.0,0
263,4.07,18,7.5,18,2,0,1,36.9,30.5,0
264,2.15,23,3.9,3,1,0,0,36.7,26.9,0
265,11.09,18,22.0,11,2,1,1,58.1,45.0,1
266,2.4,17,5.2,17,1,0,2,25.5,22.2,0
267,3.77,15,10.1,11,3,1,1,40.2,30.1,1
268,2.27,25,6.2,9,4,0,2,35.4,31.2,0
269,1.83,22,3.4,22,3,0,1,27.6,25.4,0
270,0.74,27,1.1,23,5,1,0,44.9,28.1,1
271,1.14,7,1.8,9,6,0,2,10.6,8.8,0
272,2.51,12,4.7,10,6,0,1,16.3,16.7,0
273,1.11,31,1.9,12,6,0,2,48.1,37.9,1
274,7.3,28,10.6,3,4,0,0,47.4,38.6,0
275,8.33,25,12.1,15,2,0,1,41.2,37.1,0
276,5.03,17,7.2,18,0,1,0,48.7,29.2,1
277,4.16,17,11.7,14,0,0,1,33.9,28.7,0
278,6.3,24,11.0,18,5,1,2,46.2,40.0,0
279,10.56,28,17.3,15,3,0,2,44.4,45.3,0
280,10.29,17,26.7,10,1,0,1,49.3,43.7,0
281,1.0,31,2.1,6,2,0,1,39.9,33.1,0
282,2.59,15,6.4,19,4,1,2,39.8,26.4,1
283,3.22,14,6.6,16,4,0,0,32.5,20.6,1
284,3.37,25,6.7,15,6,1,0,43.4,31.7,1
285,7.07,28,17.1,4,0,0,1,53.6,45.1,0
286,5.29,21,10.1,16,4,0,2,25.8,31.1,0
287,1.07,33,2.6,6,6,1,2,42.5,35.6,0
288,4.8,30,7.1,8,3,1,2,38.7,37.1,0
289,6.52,11,15.9,23,3,0,2,27.1,26.9,0
290,1.67,28,3.2,5,2,0,1,38.0,31.2,0
291,10.08,29,21.4,20,1,0,2,56.9,55.4,0
292,1.1,31,2.2,3,0,0,2,38.0,33.2,0
293,11.14,20,22.9,2,4,0,0,53.6,42.9,1
294,1.64,27,2.4,18,5,0,1,42.9,34.4,0
295,10.2,26,17.5,15,6,0,2,46.6,43.5,0
296,10.88,32,29.6,23,0,0,1,65.7,61.6,0
297,11.77,13,18.3,20,5,0,0,45.1,36.3,0
298,9.72,9,18.0,13,6,0,0,43.1,32.0,1
299,9.46,27,24.2,18,6,0,2,64.3,56.2,0
300,7.89,24,15.3,10,3,0,0,48.9,39.3,0
301,9.46,34,23.8,1,0,0,1,60.5,57.8,0
302,2.05,7,3.8,0,0,0,1,15.4,10.8,0
303,6.66,6,13.9,6,1,1,1,27.6,19.9,0
304,6.41,19,17.2,21,3,0,0,50.9,41.2,0
305,10.36,23,17.9,2,5,0,1,45.9,40.9,0
306,5.82,30,13.5,21,2,0,2,45.7,48.5,0
307,4.93,25,8.0,7,0,0,2,31.9,33.0,0
308,7.85,26,11.8,9,3,0,1,41.8,37.8,0
309,3.56,16,8.2,15,2,0,0,29.5,24.2,0
310,2.11,22,4.6,17,0,1,0,42.6,26.6,1
311,6.0,9,16.4,3,3,0,1,32.6,25.4,0
312,5.29,25,10.2,17,4,1,1,42.8,35.2,0
313,3.17,9,4.9,18,0,0,1,32.4,18.9,1
314,4.73,10,12.2,2,3,0,0,33.2,22.2,1
315,4.71,9,11.5,20,3,0,1,32.9,25.5,0
316,4.27,32,7.0,13,4,0,2,51.9,44.0,0
317,4.86,10,8.5,16,3,0,1,25.4,18.5,0
318,8.39,11,20.0,6,0,0,1,32.3,31.0,0
319,3.91,34,9.5,17,2,1,0,58.8,43.5,1
320,11.41,10,30.5,16,6,0,2,42.2,40.5,0
321,11.04,21,31.0,2,6,0,1,55.0,52.0,0
322,6.03,9,12.1,4,2,1,1,32.0,21.1,1
323,4.28,18,11.0,18,4,0,0,36.0,34.0,0
324,6.66,33,14.7,17,4,0,1,47.9,47.7,0
325,10.26,14,15.6,6,4,1,1,46.9,29.6,1
326,8.0,18,21.8,11,0,0,0,52.7,44.8,0
327,9.75,31,15.5,18,2,0,1,58.2,51.5,0
328,6.63,20,13.7,19,3,0,2,43.9,38.7,0
329,7.78,33,15.7,4,2,0,1,53.8,48.7,0
330,3.81,16,5.5,18,0,0,1,35.8,26.5,0
331,8.95,11,16.3,10,3,0,1,27.8,27.3,0
332,2.83,5,7.8,16,3,0,1,18.2,12.8,0
333,8.49,16,13.5,1,3,1,2,36.5,29.5,0
334,10.4,6,19.1,0,4,1,1,35.9,25.1,1
335,2.02,22,3.2,9,6,0,1,28.1,25.2,0
336,7.57,5,18.8,18,6,0,1,36.9,28.8,0
337,1.59,8,3.6,18,6,0,2,15.3,16.6,0
338,8.85,21,13.2,14,4,0,1,42.3,34.2,0
339,1.47,23,2.9,19,0,1,2,38.1,30.9,0
340,11.26,10,21.3,3,2,0,1,38.8,31.3,0
341,2.08,27,3.6,12,4,0,0,49.3,35.6,1
342,11.53,17,21.6,7,5,1,2,46.5,38.6,0
343,9.71,10,15.8,10,1,0,2,26.9,25.8,0
344,7.33,18,17.1,23,3,0,2,40.3,35.1,0
345,9.5,32,14.1,14,5,0,1,46.3,46.1,0
346,9.64,20,26.1,21,3,0,1,59.0,51.1,0
347,11.38,30,21.7,23,5,0,1,49.4,51.7,0
348,3.41,31,4.9,7,2,0,1,42.3,35.9,0
349,7.29,11,12.6,16,0,0,2,24.8,23.6,0
350,1.59,6,3.1,11,3,0,2,16.8,14.1,0
351,7.59,25,11.1,11,5,0,1,47.9,41.1,0
352,2.47,19,6.5,0,4,0,1,27.3,25.5,0
353,7.0,15,14.1,13,5,0,2,36.0,34.1,0
354,7.08,8,10.6,23,2,0,1,25.2,18.6,0
355,5.86,9,10.0,15,4,0,2,24.6,19.0,0
356,6.51,32,13.6,23,0,0,1,48.5,45.6,0
357,9.29,9,13.4,4,0,1,2,28.7,22.4,0
358,9.69,32,15.7,2,6,0,2,48.2,47.7,0
359,6.16,12,8.9,2,6,1,0,35.4,20.9,1
360,7.4,9,13.4,8,5,0,1,25.2,22.4,0
361,11.21,20,31.8,4,5,0,1,57.8,51.8,0
362,1.88,8,2.7,1,1,1,1,17.3,10.7,0
363,1.85,13,2.9,21,1,0,2,29.5,20.9,0
364,1.51,8,2.8,19,3,0,2,16.9,15.8,0
365,8.07,5,19.9,16,3,0,1,29.6,24.9,0
366,5.31,7,8.1,11,5,0,0,33.8,20.1,1
367,9.4,34,16.4,2,6,1,2,55.8,50.4,0
368,8.22,9,23.4,22,4,1,1,42.2,32.4,0
369,4.34,11,8.3,23,1,0,2,26.5,19.3,0
370,10.83,9,15.6,3,3,0,0,31.6,24.6,0
371,9.27,7,16.7,15,3,0,0,33.2,23.7,0
372,3.61,9,6.0,1,0,1,1,22.2,15.0,0
373,4.69,8,8.1,4,5,0,2,19.9,16.1,0
374,4.12,9,7.8,22,6,0,2,17.1,16.8,0
375,2.31,18,3.9,9,1,0,2,22.0,21.9,0
376,2.2,16,5.3,22,4,0,1,25.7,21.3,0
377,11.27,10,24.1,16,1,1,1,49.3,34.1,1
378,5.54,12,8.4,20,5,1,2,37.6,25.4,1
379,4.91,18,11.0,1,6,0,2,32.3,29.0,0
380,8.89,17,17.9,6,6,0,0,44.2,34.9,0
381,6.86,8,17.8,6,2,0,1,27.5,25.8,0
382,11.27,31,16.7,23,2,0,0,58.2,47.7,1
383,9.47,16,21.3,14,4,0,1,38.3,37.3,0
384,6.01,15,10.9,3,0,1,2,36.8,25.9,1
385,4.83,22,9.9,20,3,0,1,37.0,36.9,0
386,11.85,13,25.1,10,0,0,2,37.9,38.1,0
387,8.75,23,21.4,1,4,0,0,52.2,44.4,0
388,11.44,32,16.4,7,4,0,1,51.3,48.4,0
389,1.86,30,4.1,22,6,0,1,43.0,34.1,0
390,10.28,14,21.0,19,3,0,1,45.5,40.0,0
391,7.83,7,18.8,5,2,0,2,26.9,25.8,0
392,1.9,8,3.3,18,1,0,1,25.1,16.3,0
393,7.26,11,19.1,22,6,0,1,38.5,30.1,0
394,8.39,23,14.4,10,0,1,2,41.2,37.4,0
395,0.64,19,1.2,18,2,0,2,28.8,25.2,0
396,5.72,13,9.9,14,6,0,1,27.4,22.9,0
397,9.99,10,28.4,20,5,0,1,48.7,43.4,0
398,3.9,20,6.7,21,5,0,2,33.8,31.7,0
399,5.77,33,15.8,6,5,0,1,47.5,48.8,0
400,5.59,28,8.3,1,2,0,0,44.1,36.3,0
401,3.97,12,6.3,21,3,0,1,31.3,23.3,0
402,11.06,21,28.1,22,4,0,1,44.4,49.1,0
403,9.48,20,17.4,4,0,0,1,39.5,37.4,0
404,1.77,29,2.6,23,0,0,1,42.0,31.6,1
405,11.97,15,27.5,1,4,1,1,55.5,42.5,1
406,10.61,15,28.3,3,1,0,2,43.9,43.3,0
407,3.76,18,7.6,13,6,0,0,44.2,30.6,1
408,10.12,10,25.4,20,5,0,1,42.3,40.4,0
409,1.72,31,2.8,23,2,0,1,37.9,33.8,0
410,11.99,16,17.9,3,2,0,0,45.7,33.9,1
411,8.16,30,16.1,17,2,0,2,44.6,46.1,0
412,7.98,17,11.4,9,5,0,0,33.3,28.4,0
413,1.54,25,3.7,18,0,1,1,50.3,33.7,1
414,10.82,26,16.1,10,5,1,2,52.6,42.1,1
415,0.83,28,1.8,3,0,0,1,37.3,29.8,0
416,3.27,25,4.9,15,0,1,2,42.8,29.9,1
417,2.14,25,3.2,10,0,0,2,29.6,28.2,0
418,9.43,14,20.0,10,2,0,0,46.2,34.0,1
419,2.78,6,7.8,12,3,1,0,42.9,18.8,1
420,10.97,32,24.1,6,2,0,0,65.9,56.1,0
421,8.05,30,16.0,22,6,1,1,52.3,46.0,0
422,0.92,13,1.3,9,2,0,1,16.4,14.3,0
423,0.56,5,0.9,7,4,0,1,10.0,5.9,0
424,1.09,34,1.9,18,4,0,2,46.4,40.9,0
425,7.47,7,13.0,19,1,0,1,32.7,25.0,0
426,9.72,5,19.9,2,2,0,1,26.8,24.9,0
427,3.24,34,5.5,1,2,0,1,41.5,39.5,0
428,10.27,25,22.9,11,2,0,1,62.6,52.9,0
429,1.16,23,1.9,20,3,0,1,41.6,29.9,1
430,9.71,23,16.8,17,5,1,2,42.1,39.8,0
431,11.17,27,18.3,16,2,0,2,44.1,45.3,0
432,9.38,22,23.3,0,5,0,2,43.4,45.3,0
433,8.53,27,15.7,22,4,0,1,54.2,42.7,1
434,10.14,28,24.3,12,4,0,1,62.5,57.3,0
435,0.96,11,2.1,18,0,0,1,26.4,18.1,0
436,2.82,22,4.5,2,2,0,2,34.8,26.5,0
437,1.94,14,3.9,23,5,0,0,29.7,17.9,1
438,6.3,23,17.1,4,0,0,1,43.8,40.1,0
439,9.07,10,13.7,12,3,0,1,31.8,28.7,0
440,7.75,31,20.0,4,0,1,0,64.2,51.0,1
441,10.29,12,19.6,12,3,0,1,42.9,36.6,0
442,2.28,10,4.4,22,5,0,0,23.0,14.4,0
443,8.95,8,18.3,1,1,0,1,29.7,26.3,0
444,2.72,20,7.7,8,2,0,1,30.2,27.7,0
445,3.61,15,8.2,9,2,0,1,28.7,23.2,0
446,8.66,26,21.4,20,6,0,1,64.1,52.4,1
447,11.77,17,28.9,2,5,0,1,52.7,45.9,0
448,7.53,14,19.1,23,4,0,1,34.9,33.1,0
449,1.13,14,1.8,21,6,0,1,29.2,20.8,0
450,7.59,11,19.7,9,1,0,1,42.2,30.7,1
451,0.99,25,2.1,18,0,1,2,36.9,32.1,0
452,10.67,8,19.3,22,6,1,0,36.4,27.3,0
453,8.66,32,23.8,8,1,0,1,60.3,55.8,0
454,2.49,12,4.7,19,5,0,1,24.2,21.7,0
455,1.55,5,3.0,14,2,0,0,19.3,8.0,1
456,2.61,24,4.0,12,6,1,1,52.6,33.0,1
457,11.77,26,30.1,11,6,1,1,78.3,61.1,1
458,5.77,23,15.6,20,6,0,2,46.8,43.6,0
459,9.52,15,23.7,3,6,0,2,38.2,38.7,0
460,7.82,10,15.1,12,3,0,0,46.8,30.1,1
461,7.08,31,18.3,19,2,1,2,66.6,54.3,1
